Inlet TDS (g/kg),Flow (L/s),Recovery,CAPEX (kUSD/year),OPEX (kUSD/year),Status
68.03980394,5.797248567,0.539620808,294.6300084,1363.120396,1
68.03980394,5.797248567,0.367179214,170.584093,714.5539015,1
68.03980394,5.797248567,0.072326476,34.03856639,134.2844563,1
68.03980394,5.797248567,0.555949449,306.1330008,1452.281214,1
68.03980394,5.797248567,0.583388578,328.3693748,1636.613129,1
68.03980394,5.797248567,0.110937441,49.27316508,202.8424358,1
68.03980394,5.797248567,0.100751526,45.17566582,184.8087499,1
68.03980394,5.797248567,0.09984652,44.81402857,183.2069128,1
79.85766369,5.797248567,0.050403216,26.76759108,99.95286916,1
79.85766369,5.797248567,0.451654202,243.4599684,1127.887339,1
79.85766369,5.797248567,0.207906701,93.13266628,400.3919744,1
79.85766369,5.797248567,0.311309167,0,0,0
79.85766369,5.797248567,0.167535726,0,0,0
79.85766369,5.797248567,0.724717047,597.9515161,4890.143436,1
79.85766369,5.797248567,0.148120025,65.81781171,282.444118,1
79.85766369,5.797248567,0.539620808,0,0,0
79.85766369,5.797248567,0.367179214,190.3910393,800.9494474,1
79.85766369,5.797248567,0.072326476,33.63426496,141.8036648,1
79.85766369,5.797248567,0.555949449,331.8573558,1796.501197,1
79.85766369,5.797248567,0.583388578,0,0,0
79.85766369,5.797248567,0.110937441,49.67209663,212.7155647,1
79.85766369,5.797248567,0.100751526,45.3602263,193.9326199,1
79.85766369,5.797248567,0.09984652,44.979629,192.2683424,1
144.0142048,5.797248567,0.050403216,26.86398012,148.3270088,1
144.0142048,5.797248567,0.451654202,0,0,0
144.0142048,5.797248567,0.207906701,0,0,0
144.0142048,5.797248567,0.311309167,0,0,0
144.0142048,5.797248567,0.167535726,0,0,0
144.0142048,5.797248567,0.148120025,83.11794163,464.0398229,1
144.0142048,5.797248567,0.367179214,251.8429655,1750.496143,1
144.0142048,5.797248567,0.072326476,38.63644828,211.2177092,1
144.0142048,5.797248567,0.110937441,60.66100051,332.4098696,1
144.0142048,5.797248567,0.100751526,0,0,0
144.0142048,5.797248567,0.09984652,54.20646101,296.0936638,1
192.953597,5.797248567,0.050403216,31.65834164,216.8705709,1
192.953597,5.797248567,0.207906701,146.5729614,1147.882984,1
192.953597,5.797248567,0.311309167,240.152647,2174.972701,1
192.953597,5.797248567,0.167535726,114.3357764,854.8802176,1
192.953597,5.797248567,0.148120025,99.57122636,729.5866831,1
